Comment
My two fav: fiddle fig leaves and montessera! They grow like craZy
good
How do you guys speak fluent Vietnamese??
"Thu Duc used to be District 2 which used to be Thu Duc..... And now they're separate and the same thing😅 if you you're in the know, you may understand!"
"OMG Max, this store has more plants than Lowe’s or Home Depot."
♥🌸😘
"Cây hoa lan,ChRis đoán nó là cây Tre.chết cười"
Max why don't you buy plants that you can eat.  Grow a garden.
Chúc mừng Max trang trí ngôi nhà tại SG
"Ai có địa chỉ vườn hoa này không ạ. 
Bởi vì mình tên Ngọc Trâm nên mình thích và định trồng hoa Ngọc Trâm và có ý định mua ở tiệm Ngọc Trâm. 😂"
Giraffe 🦒 hươu cao cổ
nhìn đi mua cây mà muốn tặng cây cho ông ghê. hahaa
Anyone here from india❤️
I watch you guys before going to bed and had a dream Chris was being evil to Max yelling at him lol.  Weirdest things ever.
Ko ngờ ở đây lại dc xem clip Vựa Cây VN mà mình rất thích! Cám ơn hai chàng trai nhé!
Nhà mi chi mô rứa
Gọi là hoa giấy or bông giấy because the texture of the flower feels like the paper texture. Hence they called it that name.
"Hey Chris, I really enjoy your videos; but one thing I want you to know. The word ""SAIGON"" was before 1975; but after 1975 different name. And most importantly the current Flag it does NOT go with the name ""SAIGON"" .  respectfully.  Thank you."
Tiếng Việt của bạn tốt hơn Max
Mua cây bàng làm gì vậy? Tức cười quá.Hóng xem quả nhà của Max quá.Sao nhà vườn không tư vấn cho Max?
Can i ask where you get your shirt ‘Saigonese’ from ? I’ve been looking for it last time i was in Vietnam but couldn’t find it
"Plants that Mark likes , they grow in Florida ,need little care and full sun , especially the leaves of the plant has little space between the leaves"
❤❤❤
Where is this in district 2?
"I love Monstera and Fiddle Leaf too, Max.  Be ready, your Monstera will growing super fast with care."
Congratulations to Chris-Max couple 🎉🎉🎉
quán này bắn đắt cris ạ
2 ông bị người ta chém dữ quá
I’m glad you got that Fiddle Leaf Fig (Ficus Lyrata)!!! And the Monstera!
Làm seri dạy nói tiếng anh đi anh chris ❤
Quân đội việt nam cộng hoà thì vẫn là dân việt nam
"Funny, in both Vietnamese and Khmer they call Bougainvillea ""paper flower."" Makes sense though. 

There is no purple pothos. Sounds like you're looking for the purple Tradescantia, used to be called ""Purple King."" Really easy, bulletproof plant. 

Are these plants for inside, or out on the front? I work at a house plant store and when I told people in Vietnam that, they said, ""what's a house plant?"" :-) Because with no winter there, there are just plants!"
You and Chris shared this lovely video to your fans. I also have a big pot of Monstera in the kitchen. I hope the plants will thrive. 👍👏🇬🇧♥️
Hóng nhà của bạn ở SG
Đẹp quá
Ngon quá e
muốn anh thử taxi xanh ở Sài Gòn
?
I thought you are in india
Bạn này nói tiếng Việt giỏi quá
Cây lá to đẹp nên để ngoài cua kg gian tiểu cảnh . để trong nhà khó sống kg đẹp nữa . cây trong nhà kg ưa tươi nhiều NC
Xem video trên kênh của Chris mà gủi lời chúc mừng Max. Xin chúc mừng Max đã có nhà Tại Sài Gòn.👍👍
Nhà mối ổ đâu vậy max
"Chris when you go back to Hà Nội you can go to chợ hoa Vạn Phúc, Hà Đông. Lotta plants and gardening tools there. Or if you want 1 big store with all the stuff we also have a few spots, i can give you some info if you need want"
Wow gần nhà mình luôn. Ở quận 2 là định rồi. Tối các em qua Phường Thảo Điền là khu ăn chơi của các nước trên thế giới. Quốc gia nào cũng có vui lắm
"MAX CO1 NHA MOI, GIAU WA"
I haven't watched Chris's video lately. He is a real deal
"Would love a india bracelet, Chris!! Let me know 😊"
Those were pretty 5-colored bougainvillea! I won't find it here in California.
Chris ko ở Hà Nội nữa ah
Nice vidoe
Bó tay Cờ Rớt. Tết vừa rồi đi sắm cây cảnh chán rồi mà hôm nay sờ cây Hoa giấy cứ tấm tắc khen. 😝
India
"CONGRATURATION FOR YOUR NEW HOUSE ,,MAX!❤"
Well come to Saigon Christ
i was very concerned...until i realized they can deliver. (had an image of it on the back of the motercycle and chris toppling off) =D
"There are many YouTube channels who will ship bong giay to your house  at a lower price from 200k to 500 k such as Hoa giay ca Mau ,of hoa giấy Đan Lê...."
"Chris and Max are expanding their services from food, culinary delights, sights and culture, cross country scooter rides to home decorating and house plants."
"14:20
What's this plant?"
"You picked the best tree Max, Ficus Lyrata Tree, Fiddle Leaf Fig Tree. Its big leaves will bring beauty to your home. Enjoy it ."
